,address
0,"Whitlow Plan, Brookland Grove, Washington, DC 20017"
1,"Unit 02 Plan, Aria Reserve Miami, Miami, FL 33137"
2,"Unit 01 A Plan, Aria Reserve Miami, Miami, FL 33137"
3,"The Buchanan Plan, The Townhomes At Michigan Park, Washington, DC 20017"
4,"Plan 3 Plan, Hudson At Belterra, Austin, TX 78737"
5,"Plan 2469 Plan, Eastvillage - Classic Collection, Manor, TX 78653"
6,"Manzanoaks Dr, Redding, CA 96003"
7,"Lots 19 20 21 Beauregard Ave, New Orleans, LA 70127"
8,"Lots 17 & 18 Beauregard Ave, New Orleans, LA 70127"
9,"Homes Available Soon Plan, Monroe, Redding, CA 96003"
10,"Homes Available Soon Plan, Jennings Place, Austin, TX 78744"
11,"Edgewood Plan, Brookland Grove, Washington, DC 20017"
12,"Drake Plan, Traditional Homes Collection At Easton Park, Austin, TX 78744"
13,"C3 Plan, Hacienda Springdale, Austin, TX 78723"
14,"912 Cripple Creek Dr, Austin, TX 78758"
15,"909 Leboeuf St, New Orleans, LA 70114"
16,"908 Nueces St #32, Austin, TX 78701"
17,"908 Esplanade Ave, New Orleans, LA 70116"
18,"9015 Cattle Baron Path #804, Austin, TX 78747"
19,"853 Oakmont Dr, Redding, CA 96003"
20,"848 Brickell Key Dr Apt 1502, Miami, FL 33131"
21,"847 Santa Cruz Dr, Redding, CA 96003"
22,"835 Esplanade Ave #d, New Orleans, LA 70116"
23,"8340 Fathom Cir Apt 101, Austin, TX 78750"
24,"8325 Verde Mesa Cv, Austin, TX 78738"
25,"820 18th St NE #102, Washington, DC 20002"
26,"818 Randolph St NW, Washington, DC 20011"
27,"816 Orland Blvd Plan, Drew Homes - South Austin, Austin, TX 78745"
28,"806 W 24th St Apt 315, Austin, TX 78705"
29,"801 Brickell Key Blvd Apt 404, Miami, FL 33131"
30,"7710 Mill St #12, New Orleans, LA 70126"
31,"7649 Kingsport Blvd, New Orleans, LA 70128"
32,"759 18th St NE #101, Washington, DC 20002"
33,"7402 Sevilla Dr, Austin, TX 78752"
34,"7328 Muffin Dr, Austin, TX 78724"
35,"7308 Glenhill Rd, Austin, TX 78752"
36,"7201 Bullard Ave, New Orleans, LA 70128"
37,"7112 Derby Downs Dr, Austin, TX 78747"
38,"705 Bernese Pass, Austin, TX 78745"
39,"700 S Peters St Apt 419, New Orleans, LA 70130"
40,"700 S Peters St Apt 303, New Orleans, LA 70130"
41,"6971 Vicksburg St, New Orleans, LA 70124"
42,"6908 Dennis Ct, Redding, CA 96001"
43,"6816 W Coronet Ct, New Orleans, LA 70126"
44,"6563 Paso Dr, Redding, CA 96001"
45,"620 Decatur St Apt P, New Orleans, LA 70130"
46,"613 W 33rd St, Austin, TX 78705"
47,"601 NE 36th St Apt 2704, Miami, FL 33137"
48,"5947 Highland Hills Dr, Austin, TX 78731"
49,"5939 Mandeville St, New Orleans, LA 70122"
50,"5841 Kensington Blvd, New Orleans, LA 70127"
51,"5823 Old Barn Way, Redding, CA 96001"
52,"5811 Dix St NE, Washington, DC 20019"
53,"581 N Boulder Dr, Redding, CA 96003"
54,"555 NE 15th St Apt 19h, Miami, FL 33132"
55,"5433 Urquhart St, New Orleans, LA 70117"
56,"5329 Forest Park Ln, New Orleans, LA 70131"
57,"5220 Dix St NE, Washington, DC 20019"
58,"514 45th St NE, Washington, DC 20019"
59,"5122 Monaco, Redding, CA 96002"
60,"5045 Huntington Dr, Redding, CA 96002"
61,"5022 1/2 Cathedral Ave NW, Washington, DC 20016"
62,"500 Brickell Ave Apt 2705, Miami, FL 33131"
63,"4959 Lurline St, New Orleans, LA 70127"
64,"4934-36 Coliseum St, New Orleans, LA 70115"
65,"4901 Mendoza Dr Unit 1, Austin, TX 78721"
66,"4720 Lower Springs Rd, Redding, CA 96001"
67,"4611 Craigwood Dr, Austin, TX 78725"
68,"4610 45th St NW, Washington, DC 20016"
69,"4550 NW 9th St Apt 520e, Miami, FL 33126"
70,"4510 Richmond Ave #1, Austin, TX 78745"
71,"45 Sutton Sq SW Unit 1104, Washington, DC 20024"
72,"444 NE 30th St Unit 903, Miami, FL 33137"
73,"4401 E Bonnyview Rd, Redding, CA 96001"
74,"4221 NW 11th Ct, Miami, FL 33127"
75,"4211 White River Ct, Redding, CA 96003"
76,"4170 Meander Dr, Redding, CA 96001"
77,"4143 Saint Patricks Ave, Redding, CA 96003"
78,"4128 Fiesta St, New Orleans, LA 70131"
79,"4095 Ensenada Ave, Miami, FL 33133"
80,"4021 Lane Pl NE, Washington, DC 20019"
81,"400-402 Olivier St, New Orleans, LA 70114"
82,"4000 Tunlaw Rd NW Apt 502, Washington, DC 20007"
83,"3716 Werner Ave, Austin, TX 78722"
84,"3662 Ginny Ct, Redding, CA 96002"
85,"3605 36th Pl SE, Washington, DC 20020"
86,"358 Vintage Path, Redding, CA 96003"
87,"3501 NW 10th Ave, Miami, FL 33127"
88,"3500 Pecan Springs Rd #16, Austin, TX 78723"
89,"3336 Dubois Pl SE, Washington, DC 20019"
90,"3316 West St, Redding, CA 96001"
91,"3256 Prospect St NW, Washington, DC 20007"
92,"3203 Carondelet St Unit 301, New Orleans, LA 70115"
93,"3146 SW 25th Ter, Miami, FL 33133"
94,"3142 Mcdonald St #3142, Miami, FL 33133"
95,"3135 Lakey Ln, Redding, CA 96003"
96,"3101 New Mexico Ave NW Apt 1003, Washington, DC 20016"
97,"3082 Keswick Dam Rd, Redding, CA 96003"
98,"3004 Prado Unit 2 Plan, East Austin, Austin, TX 78702"
99,"3001 Cedar St #a-202, Austin, TX 78705"
100,"2976 Austin Path, Redding, CA 96002"
101,"2941 SW 27th St, Miami, FL 33133"
102,"2917 Live Oak St, New Orleans, LA 70118"
103,"2873 Arcade Way Unit 207, Redding, CA 96002"
104,"2831 Henderson Rd, Redding, CA 96002"
105,"2831 Camulos Way, Redding, CA 96002"
106,"2809 Myrtle Ave NE, Washington, DC 20018"
107,"2739 Jonquil St, New Orleans, LA 70122"
108,"2723 SW 13th St, Miami, FL 33145"
109,"2656 Odin St, New Orleans, LA 70122"
110,"2609 Gardenia Dr, Austin, TX 78727"
111,"2606 Seiad St, Redding, CA 96003"
112,"250 NW 23rd St Unit 412, Miami, FL 33127"
113,"2486 Neighborly Way, Redding, CA 96001"
114,"244 Biscayne Blvd Apt 1003, Miami, FL 33132"
115,"240 SW 71st Ave, Miami, FL 33144"
116,"23582 Chef Menteur Hwy, New Orleans, LA 70129"
117,"234 NE 3rd St Penthouse Uph07, Miami, FL 33132"
118,"2319 Terpsichore St, New Orleans, LA 70113"
119,"2318 Vienna St, New Orleans, LA 70122"
120,"2317 Terpsichore St, New Orleans, LA 70113"
121,"2234 11th St NW Unit 202, Washington, DC 20001"
122,"215 Emerson St NW Apt 103, Washington, DC 20011"
123,"2130 NW 27th St, Miami, FL 33142"
124,"2124 Burton Dr Apt 102, Austin, TX 78741"
125,"2104 Benefit St, New Orleans, LA 70122"
126,"20956 SW 124 Avenue Rd, Miami, FL 33177"
127,"2028 Allen Pl NW, Washington, DC 20009"
128,"2020 Benton Dr, Redding, CA 96003"
129,"2011-13 7th St, New Orleans, LA 70115"
130,"2 Grove Isle Dr #b410, Miami, FL 33133"
131,"1990 NW 4th Ct Apt 14, Miami, FL 33136"
132,"1946 SW 25th St, Miami, FL 33133"
133,"1930 Jewell Ln, Redding, CA 96001"
134,"1921 21st Pl SE, Washington, DC 20020"
135,"1906 Bechelli Ln, Redding, CA 96002"
136,"1868 SW 16th St, Miami, FL 33145"
137,"1864 South St, Redding, CA 96001"
138,"1854 South St, Redding, CA 96001"
139,"1832 Gov Nicholls St, New Orleans, LA 70116"
140,"1827 Clouet St, New Orleans, LA 70117"
141,"1816 New Hampshire Ave NW #p32, Washington, DC 20009"
142,"1810 Kalorama Rd NW Apt A3, Washington, DC 20009"
143,"1750 Hamilton Ln, Austin, TX 78759"
144,"1717 N Bayshore Dr #a-1954, Miami, FL 33132"
145,"1704 Webberville Rd, Austin, TX 78721"
146,"1704 T St NW Apt 104, Washington, DC 20009"
147,"1641 Mandeville St, New Orleans, LA 70117"
148,"1636 N Miro St, New Orleans, LA 70119"
149,"1631 Piety St, New Orleans, LA 70117"
150,"1622 34th St NW, Washington, DC 20007"
151,"1601 J J Seabrook Dr #2, Austin, TX 78721"
152,"1581 Lavender Way, Redding, CA 96003"
153,"15664 SW 99th Ave, Miami, FL 33157"
154,"15526 Gamblers Gulch Rd, Redding, CA 96001"
155,"15420 SW 103rd Pl, Miami, FL 33157"
156,"15204 Walker Ter, Shasta, CA 96087"
157,"1514 Parker Ln Apt 107, Austin, TX 78741"
158,"1467 NW 30th St, Miami, FL 33142"
159,"14546 Clear Creek Knolls Dr, Redding, CA 96001"
160,"14302 Terisu Ln, Austin, TX 78728"
161,"1428 Leonidas St, New Orleans, LA 70118"
162,"14152 SW 148th Pl, Miami, FL 33196"
163,"1402 1st St SW, Washington, DC 20024"
164,"14005 Panorama Dr, Austin, TX 78732"
165,"14000 Sandisle Dr, Redding, CA 96003"
166,"13943 SW 156th Ave, Miami, FL 33196"
167,"13835 Green Mountain Trl, Redding, CA 96003"
168,"13510-12 Granville St, New Orleans, LA 70129"
169,"1345 Dexter Ter SE, Washington, DC 20020"
170,"1340 Jackson St NE, Washington, DC 20017"
171,"1304 Comal St, Austin, TX 78702"
172,"1225 Potomac St NW, Washington, DC 20007"
173,"1221 E Cypress Ave Unit 310, Redding, CA 96002"
174,"1203 Palo Duro Rd #2, Austin, TX 78757"
175,"12025 Eruzione Dr, Austin, TX 78748"
176,"11820 SW 182nd Ter, Miami, FL 33177"
177,"11525 Arbroath Ln, Austin, TX 78754"
178,"11517 SW 64th St Apt A, Miami, FL 33173"
179,"1136 Southlawn Blvd, New Orleans, LA 70114"
180,"1119 Austin Highlands Blvd, Austin, TX 78745"
181,"1111 Orren St NE #504, Washington, DC 20002"
182,"10401 SW 108th Ave #145, Miami, FL 33176"
183,"10290 SW 177th St, Miami, FL 33157"
184,"1026 18th St NE Penthouse 7, Washington, DC 20002"
185,"1026 18th St NE Penthouse 6, Washington, DC 20002"
186,"1026 18th St NE Apt 2, Washington, DC 20002"
187,"1026 18th St NE #4, Washington, DC 20002"
188,"1025 Sycamore Dr SE, Washington, DC 20032"
189,"1021 SW 88th Ct, Miami, FL 33174"
190,"1001 26th St NW Apt 806, Washington, DC 20037"
191,"065-620-017, Redding, CA 96001"
192,"(Undisclosed Address), Washington, DC 20020"
193,"(Undisclosed Address), Miami, FL 33177"
194,"(Undisclosed Address), Miami, FL 33125"
195,"Whitlow Plan, Brookland Grove, Washington, DC 20017"
